570013,1252624
192643,1596333
268739,413565
368916,1772084
1190693,960787
137802,164597
771324,575657
682477,178482
1056164,815308
512360,440978
1493485,1177976
982145,116901
1348522,1544322
772664,1054319
423603,1510249
1540805,231710
791596,971542
1066137,298429
1385107,1435054
1308607,604522
1633935,1446409
7213,433981
1260160,1899063
1821836,345046
1952465,362918
24119,1474672
778989,1006264
1591574,156233
1788680,1602332
1210552,1450377
1141303,780079
1682088,1932899
989716,15041
1469422,403545
688189,806751
246162,1560219
1491254,253375
22922,780137
1390532,1082852
363277,1371720
683865,1596768
875114,1462854
631754,1704782
857181,449157
1335836,96455
1899534,505862
114628,848438
1676855,1104344
101574,1175000
745984,789763
1219845,230240
378704,739822
1692987,1610999
758053,1112242
1931945,359424
512684,1853904
1956193,625892
583574,1826041
359397,1440755
1513292,1695233
775304,679643
1439189,889933
1528081,1144767
1232371,867749
1557861,1216449
895607,44522
1446689,512405
22438,1168399
1361498,780491
1518735,1322166
378010,60141
442886,362925
1895405,1026461
217688,283524
495938,1730981
1216852,1271243
1648718,1894135
1399270,443615
305718,1869735
1311365,1863579
1114907,235694
1146196,1799690
748099,1168634
996811,1347692
1949126,1753640
698580,1565230
1051875,1141466
1928155,976003
1406021,1383937
1259527,1901960
381734,1714473
440019,59174
1637331,1077383
502790,1943049
975840,1814155
1073445,119469
1287943,248363
1157254,1274136
1416997,182787
650550,632939
