36575,4626
9909,55227
5977,47355
12622,44796
29017,43381
40194,8023
27406,31107
46859,48034
25080,19914
22556,21956
10183,47172
10659,30405
24398,4094
43654,54387
54547,25963
14853,56114
30590,47982
18105,1559
37109,30728
11347,7898
39101,51541
39141,8279
47640,50993
21306,14492
35899,43862
1441,46082
56027,12100
18260,22197
39414,26906
18356,725
52869,33209
56840,25231
46184,39937
50010,25065
35657,3129
56184,39751
19662,37097
48030,9075
53082,34328
46787,30754
43183,13220
18608,40982
25320,1860
28171,6507
28766,46527
7232,23408
44728,29064
13631,32684
33994,5414
22742,11423
31763,43918
51174,51426
46007,5969
25493,40862
5289,37272
13388,13464
50493,55216
19438,40805
57077,47609
12304,27615
900,42757
16015,45629
13593,29647
43305,12579
53,31039
47223,55036
16729,5161
13226,4509
34350,38719
10363,39640
40984,23751
18096,33249
43959,37535
15826,42808
26916,28131
35416,27817
35880,16423
38438,14465
11062,46735
27045,11115
19547,16040
31144,1268
21201,44370
5777,20544
24862,39360
1956,30838
28103,20052
5859,13835
22579,44905
56643,49496
38028,57051
42305,15680
15247,45735
30146,26309
34242,57191
2417,53789
38223,33561
20050,24416
19703,25827
44960,9557
